;gender;email;phone;cell;nat;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;id.name;id.value;picture.large;picture.medium;picture.thumbnail
0;male;heldo.campos@example.com;(77) 6972-0550;(63) 8842-4673;BR;Mr;Heldo;Campos;9120;Rua Três;Parnaíba;Roraima;Brazil;73921;-74.8924;-98.6155;+8:00;Beijing, Perth, Singapore, Hong Kong;71deeadb-1d62-402a-aafa-2645bbafb318;whitemouse262;nokia;gYAlckP3;02453332b76c44d3df149c61cdf7780b;863be27edf50cbd108a1ad1d370b48c25c1b2a70;92b7b11044f3d38288658e2fa8830a24fc5c718f70e4fd6b898ddef4efa5c186;1968-03-29T05:26:03.876Z;56;2008-05-04T19:25:42.326Z;15;CPF;877.348.307-98;https://randomuser.me/api/portraits/men/35.jpg;https://randomuser.me/api/portraits/med/men/35.jpg;https://randomuser.me/api/portraits/thumb/men/35.jpg
1;female;candice.long@example.com;(485) 455-4654;(798) 717-2896;US;Mrs;Candice;Long;4744;Northaven Rd;Las Cruces;South Carolina;United States;25478;3.6318;-144.2089;-3:30;Newfoundland;96dd637a-b5db-4c46-850b-fdf82874787c;smalltiger904;ariana;Tc8mtx2v;0dedb0fe7089d0f61652d56965bfdc37;0193f67c3cc8853ba24f191518eba810a569b474;1fd00c131f1ef5e3dda55228ea0cac2527979cf8cf5744b6e03f13b51982525b;1964-06-01T07:39:53.612Z;59;2013-10-02T00:18:11.943Z;10;SSN;485-42-7769;https://randomuser.me/api/portraits/women/39.jpg;https://randomuser.me/api/portraits/med/women/39.jpg;https://randomuser.me/api/portraits/thumb/women/39.jpg
2;male;arsyn.shylyrd@example.com;085-84292496;0921-039-2227;IR;Mr;آرسین;سهيلي راد;7670;شهید شهرام امیری;آبادان;کردستان;Iran;88318;-59.0431;86.0804;+1:00;Brussels, Copenhagen, Madrid, Paris;0f356d51-dee5-4965-9858-96996bfcb2c4;happymouse971;spam;G8eRYLHu;2b0f24c0a13eed9da84312bbf7401297;71f2b402a746e10f47c108cc98a60043b0ff3e5e;11722d676f1d351e4c869c469cd56fc8763d087d3eefba24d3806a787f485d94;1955-01-12T15:01:03.614Z;69;2014-06-25T17:28:53.366Z;9;;;https://randomuser.me/api/portraits/men/64.jpg;https://randomuser.me/api/portraits/med/men/64.jpg;https://randomuser.me/api/portraits/thumb/men/64.jpg
3;male;olivier.liu@example.com;Z10 L54-7288;B88 W98-2880;CA;Mr;Olivier;Liu;1215;Concession Road 6;Inwood;British Columbia;Canada;F9Y 4F8;71.6902;174.3171;0:00;Western Europe Time, London, Lisbon, Casablanca;b7d873cc-ae93-4167-870c-d8f1bd985d6a;blueduck139;nokia;nLNof1Th;8f28331dadf34568aceb41cced49e268;b209321f8aa22e99442ea7c750e90e889b3d3180;0480442e9944d8b28bd5ff3e39f3884e479c26c2e8aa42961dc297824694b6c2;1976-06-22T09:56:35.656Z;47;2015-03-29T19:09:50.220Z;9;SIN;216774620;https://randomuser.me/api/portraits/men/6.jpg;https://randomuser.me/api/portraits/med/men/6.jpg;https://randomuser.me/api/portraits/thumb/men/6.jpg
4;male;jared.wells@example.com;011-129-8215;081-841-9329;IE;Mr;Jared;Wells;2218;Main Street;Skerries;Dublin City;Ireland;67351;84.2022;-114.1502;-7:00;Mountain Time (US & Canada);9ac8d73f-47fa-4320-8f34-4c13b8715725;greenpeacock229;bigal;8CKaCXzr;1f1c35942c5fcac094e494f4351ec489;6344507e0a754de2606f357ae8364ecfc8d9eec3;7e95a6b4cfba371db151c63ab6d8b790448fc855975dcb9ce0504011373f8aa0;1963-07-10T14:55:58.523Z;60;2015-09-14T22:49:33.430Z;8;PPS;7374449T;https://randomuser.me/api/portraits/men/88.jpg;https://randomuser.me/api/portraits/med/men/88.jpg;https://randomuser.me/api/portraits/thumb/men/88.jpg
5;female;lily.vestol@example.com;68389753;42031964;NO;Mrs;Lily;Vestøl;4341;C. A. Pihls gate;Sauda;Bergen;Norway;4379;-49.7723;38.0966;+1:00;Brussels, Copenhagen, Madrid, Paris;a31db1a2-308a-40f2-8797-b3dd0ddefc4c;goldengorilla675;mailman;oFsTptag;7f97896ba446d3b5312712094126aa62;5baf153a664c759df163b29a1a72a943500215b5;b539ebc0611fac9876f069a65cb7371e8e342b9608bcb3711e51a8ea0131b4e1;1954-06-10T15:34:34.609Z;69;2007-01-05T03:37:57.187Z;17;FN;10065438653;https://randomuser.me/api/portraits/women/20.jpg;https://randomuser.me/api/portraits/med/women/20.jpg;https://randomuser.me/api/portraits/thumb/women/20.jpg
6;male;momir.terzic@example.com;031-6110-370;064-8388-481;RS;Mr;Momir;Terzić;4783;Anđelije Milić;Arilje;South Bačka;Serbia;80196;58.4694;-147.6523;+6:00;Almaty, Dhaka, Colombo;d74f708b-4f5a-4bf4-8234-1acb6a403ff7;purplelion250;jomama;DI64jLhQ;9dc293343ad4eda0cd5819a6e83d15d3;e3d27ac8f97a5ccd458314e0a8211f92cf5d6ef6;ff73c5242564dcb35ad2d5862af23c98e3878e40c6efd825d23470fd9ab9e043;1950-07-14T14:46:54.702Z;73;2006-01-13T04:11:29.503Z;18;SID;496194169;https://randomuser.me/api/portraits/men/85.jpg;https://randomuser.me/api/portraits/med/men/85.jpg;https://randomuser.me/api/portraits/thumb/men/85.jpg
7;male;isaac.sanz@example.com;991-226-828;655-952-683;ES;Mr;Isaac;Sanz;9823;Calle de Tetuán;Alcobendas;Cantabria;Spain;41286;-51.7274;141.2465;-4:00;Atlantic Time (Canada), Caracas, La Paz;767f236d-3af7-4907-8642-5b25ae113fc3;ticklishlion582;blue42;4oJjYQAU;04d0c38a355fe23505185b060ae91e1d;8254aeaaac563f14d6f4e3090a5facba5e3ffaf3;7ec2ce453cbca148bb073c37215ad1764f22c598c9521c920a622955c583ba5f;1987-04-10T21:50:02.124Z;37;2004-02-24T13:52:30.931Z;20;DNI;06430755-P;https://randomuser.me/api/portraits/men/67.jpg;https://randomuser.me/api/portraits/med/men/67.jpg;https://randomuser.me/api/portraits/thumb/men/67.jpg
8;female;abril.iglesias@example.com;(606) 130 9757;(685) 810 9013;MX;Miss;Abril;Iglesias;1238;Continuación Sur Prado;Teloloapan;Queretaro;Mexico;80426;-58.5524;19.8758;+11:00;Magadan, Solomon Islands, New Caledonia;e72e53eb-6b67-46fb-98e9-761a11384b35;orangerabbit765;whiteout;kLqDpRQD;80084e3756037e75fb6bf0f6fe284c5b;8f1d4344d6d35f0c139f42d3b4977bf30e6b92c6;e04f38cf549f05f6ca4384879eecd300d23088d573c57a479b3650b98a303efa;1956-08-05T18:27:31.426Z;67;2015-12-17T14:13:12.732Z;8;NSS;67 91 11 8422 0;https://randomuser.me/api/portraits/women/0.jpg;https://randomuser.me/api/portraits/med/women/0.jpg;https://randomuser.me/api/portraits/thumb/women/0.jpg
9;male;roboredo.rodrigues@example.com;(40) 4876-3923;(96) 6480-2987;BR;Mr;Roboredo;Rodrigues;6201;Rua Dezenove de Outubro;Itabira;Pará;Brazil;12358;-89.8145;-140.9485;-11:00;Midway Island, Samoa;956a2338-d4ef-4b85-a305-1ea737d58dc7;happymeercat172;bigfoot;AL2Jh5ry;d4cb5c18bb396ffd74bd5b4933830ae9;16a38f67a95c8f45c5cd3bb6208e6f14e57f3540;9a4b18b76235d6ea6c55dfca7ea311e3a950b69dc1b361a48a1665e1378c8f87;1991-07-28T03:58:23.567Z;32;2007-03-01T01:15:27.109Z;17;CPF;550.709.323-71;https://randomuser.me/api/portraits/men/41.jpg;https://randomuser.me/api/portraits/med/men/41.jpg;https://randomuser.me/api/portraits/thumb/men/41.jpg
